ID,DIVISION,SUBJECT,WRITER,VIEWS
2246984,XSX소프트,엑스박스 공식)This Week on Xbox 영상 (1),틸로볼프,2
2237470,PS5하드,,Ruliweb100,47
2246982,PS4소프트,시푸 - 신규 게임플레이 클립 공개 (34),토미오카,18
2246999,PS5소프트,아스트로 플레이룸 컨셉아트 (21),실명†확인,16
2246988,정보,EA스포츠 신작 매든NFL22 스캔 장비 (3),베르세리아2,2
2246980,PS5소프트,테일즈 오브 어라이즈 시온 캐릭터 소개 영상 (28),nokcha,20
2246996,루머,게임랜트)소문에 따르면 Xbox와 코지마 새로운 게임 계약 채결 (54),틸로볼프,35
2246990,인터뷰,스칼렛 스트링스 크리에이터 인터뷰 - 브레인 펑크의 세계 (9),순정소닉,3
2246975,정보,"가오갤, 멀티플레이는 1년간 개발됐다가 취소됨 (20)",선인장국,5
2246987,정보,"다시 불어오는 야생의 숨결, 6월 4주차 한우리 판매 순위 (68)",Tentacle,34
2246972,PS5소프트,Abandoned 데모 공개 8월로 연기 (59),익어,20
2246994,PS5소프트,PS공식)익스플로링 PS5 - 싱글 플레이어 액티비티 (7),틸로볼프,3
2247000,XSX소프트,더 게이머)포트나이트 올 7월에 로키 합류 예정 (2),틸로볼프,4
2246970,XSX소프트,테일즈 오브 공식)테일즈 오브 어라이즈 각국 각지역의 판매 에디션 공개 (3),틸로볼프,4
2246974,XSX소프트,ID@XBOX)더 퍼시스턴스 인헨스드 공식 지원 영상,틸로볼프,5
2246971,PS4소프트,지구방위군 6 트레일러 2탄 (16),nokcha,8
2246986,XBO소프트,엑스박스 공식)헌트: 쇼다운 - 더 비스트 헌터 DLC 영상 (2),틸로볼프,2
,,,,
2246992,NS소프트,신 멋진 이 세계 체험판 배포 개시 (10),잘했어 라이코스,8
2246973,기타,CD 프로젝트 × 위쳐콘 티저 (40),둠 닥터,18
2246969,PS4소프트,Promesa - 출시 트레일러 | PS4 (1),클틴이,3
2246991,PS4소프트,[리뷰] 혁신 혹은 타협? 자동사냥 도입한 '디스가이아 6' (27),순정소닉,1
2247003,XSX소프트,레드폴은 2017년 8월부터 개발 시작 (11),play that,21
2246985,정보,[체험기] 원작 초월 연출로 즐기는 '트랭크스'의 이야기 (6),조산명입니다,3
2246998,PS5소프트,게임랜트)커발 스페이스 프로그램 차세대 업그레이드 발표 (3),틸로볼프,2
2246997,XSX소프트,게임랜트)커발 스페이스 프로그램 차세대 업그레이드 발표 (1),틸로볼프,2
2247002,기타,언리얼 엔진5의 새로운 해상도 업스케일 품질 비교 (66),KKNG,46
2247062,PS5소프트,VG TECH)암네시아 리버스 PS5 프레임 테스트 영상 (6),틸로볼프,7
2247001,XSX소프트,게임스팟)스칼렛 넥서스 리뷰 영상 (11),틸로볼프,6
2247071,NS소프트,아케이드 아카이브 라이덴 7월 1일 발매 (16),nokcha,2
2247092,PS5소프트,"H2 인터렉티브, PS5판 메트로 엑소더스 추가 확장팩 DLC 제공 안내 (1)",nokcha,3
,,,,
2247078,PS5소프트,스칼렛 스트링스 메타크리틱 유저 평점 등록 (53),eito,15
2247074,PS5하드,PS 공식 - PS5 탐색: 영상 & 이미지의 제작 & 공유 (5),토미오카,2
2247070,기타,헤일로 TV 드라마 총괄 제작자 시즌1 완료후 하차예정 (16),DZshk,9
2247067,XSX소프트,XBOX ON)새로운 Xbox 독점작 모음 영상 (20),틸로볼프,16
2247091,PS5소프트,"귀멸의 칼날 히노카미 혈풍담 한국어판 코쵸우 시노부, 렌고쿠 쿄쥬로 영상 (3)",nokcha,1
2247066,사설,꿀벌의 집은 FF VII REMAKE가 어떻게 바뀔지 보여주는 좋은 예 (29),who knows836,18
2247068,루머,게임랜트)레거시 오브 케인: 리마스터 올해 발표된 것이라는 소문 (14),틸로볼프,2
2247073,기타,오늘 폴아웃4의 도그밋으로 알려진 '리버'가 세상을 떠났습니다 (7),겜스샷전문가🎮,43
2247065,기타,"[AC] 건담 EXVS2 크로스 부스트 추가기체 2탄 ""디제"" 참전, +... (9)",요맨와쐅,9
2247069,정보,영국 비디오 게임 패키지 주간 판매 순위 (~06/26) (12),물곰탱,10
2237470,PS5하드,,Ruliweb100,47
2247077,NS소프트,"한국닌텐도, 이스 VIII 닌텐도 스위치 온라인 게임 트라이얼 실시 (51)",무알콜모히또,10
2247084,NS소프트,진 여신전생 V 스크린샷 (48),키쿠치요,18
2247072,사설,당신이 플레이하고싶은 비디오 게임 빌런은 누구인가? (38),볼트 드웰러,13
2247076,정보,그랑블루 판타지 VERSUS - PSN용 캐릭터 아바타 배포 안내 (12),토미오카,7
2247075,NS소프트,"일본닌텐도, 전장의 발큐리아 1 닌텐도 스위치 온라인 게임 트라이얼 실시 (25)",nokcha,3
2247083,NS소프트,"장르적 익숙함에 IP의 힘을 더한 괴물을 만나다, '포켓몬 유나이트' (39)",순정소닉,10
2247090,제작사,블리자드 및 월트 디즈니 컴퍼니 출신 디자이너(매니저)가 디 이니셔티브에... (2),블레이더영혼,5
2247089,XBO소프트,CDPR : 사이버펑크 2077의 안정성은 만족스러운 수준에 도달했다 (59),nokcha,8
2247087,루머,스크린랜트)톰 핸더슨에 따르면 GTA 6 2025년 출시 예정 (23),틸로볼프,3
2247080,PS4소프트,뮤지쿠스! PS4/닌텐도 스위치 이식 결정 (펀딩 목표 금액 달성) (6),nokcha,7
2247079,PS4소프트,더 킹 오브 파이터즈 XV 바네사 스케치 (41),이토 시즈카,13
